# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2892500000.000000	-0.65635746	-0.65643986	-0.65635746	0.00008240	-0.01949469
2893000000.000000	-0.65570316	-0.65570284	-0.65570316	-0.00000033	-0.02053694
2893500000.000000	-0.65471667	-0.65477887	-0.65471667	0.00006221	-0.02210837
2894000000.000000	-0.65522180	-0.65537748	-0.65522180	0.00015568	-0.02130372
2894500000.000000	-0.65816272	-0.65800769	-0.65816272	-0.00015502	-0.01661902
2895000000.000000	-0.66213442	-0.66229791	-0.66213442	0.00016349	-0.01029234
2895500000.000000	-0.65763511	-0.65775399	-0.65763511	0.00011887	-0.01745946
2896000000.000000	-0.66788988	-0.66851943	-0.66788988	0.00062954	-0.00112422
2896500000.000000	-0.65743351	-0.65771132	-0.65743351	0.00027781	-0.01778060
2897000000.000000	-0.66020866	-0.65987418	-0.66020866	-0.00033448	-0.01335996
2897500000.000000	-0.66055355	-0.66079098	-0.66055355	0.00023742	-0.01281056
2898000000.000000	-0.65784094	-0.65751526	-0.65784094	-0.00032568	-0.01713159
2898500000.000000	-0.65984096	-0.65949378	-0.65984096	-0.00034718	-0.01394568
2899000000.000000	-0.65820538	-0.65858383	-0.65820538	0.00037844	-0.01655106
2899500000.000000	-0.66010574	-0.66072258	-0.66010574	0.00061684	-0.01352390
2900000000.000000	-0.66859564	-0.66878649	-0.66859564	0.00019085	-0.00000000
