3300	-2.78661835	-2.78662007
3350	-2.78667296	-2.78667450
3400	-2.78674647	-2.78674507
3450	-2.78681372	-2.78681714
3500	-2.78691798	-2.78692035
3550	-2.78695237	-2.78694429
3600	-2.78703649	-2.78702434
3650	-2.78708925	-2.78709883
3700	-2.78715976	-2.78715038
3750	-2.78719201	-2.78719419
3800	-2.78726939	-2.78726782
3850	-2.78735299	-2.78735657
3900	-2.78741653	-2.78742190
3950	-2.78751567	-2.78751788
4000	-2.78756778	-2.78756970
4050	-2.78767398	-2.78768362
4100	-2.78772573	-2.78772769
4150	-2.78778244	-2.78778533
4200	-2.78780501	-2.78780562
4250	-2.78786008	-2.78785855
4300	-2.78791248	-2.78790961
4350	-2.78793853	-2.78793072
4400	-2.78798801	-2.78799097
4450	-2.78803823	-2.78804474
4500	-2.78811118	-2.78811072
4550	-2.78820204	-2.78819687
4600	-2.78827138	-2.78827158
4650	-2.78834043	-2.78834026
4700	-2.78836352	-2.78837033
4750	-2.78846588	-2.78846380
4800	-2.78856948	-2.78856727
4850	-2.78865051	-2.78865377
4900	-2.78872763	-2.78873792
4950	-2.78881814	-2.78881671
5000	-2.78887237	-2.78887692
5050	-2.78896512	-2.78896466
5100	-2.78903797	-2.78902775
5150	-2.78910712	-2.78910976
5200	-2.78919082	-2.78919196
5250	-2.78922583	-2.78922821
5300	-2.78928413	-2.78929009
5350	-2.78936555	-2.78936985
5400	-2.78939880	-2.78939088
5450	-2.78946631	-2.78946042
5500	-2.78951435	-2.78951347
5550	-2.78956929	-2.78956356
5600	-2.78964550	-2.78964042
5650	-2.78969644	-2.78969292
5700	-2.78977131	-2.78977451
5750	-2.78984726	-2.78984707
5800	-2.78991019	-2.78990576
5850	-2.78997216	-2.78997649
5900	-2.79008006	-2.79005906
5950	-2.79011673	-2.79012084
6000	-2.79018454	-2.79019001
6050	-2.79019158	-2.79019457
6100	-2.79027280	-2.79027703
6150	-2.79030853	-2.79031055
6200	-2.79035940	-2.79035868
6250	-2.79040539	-2.79040998
6300	-2.79044665	-2.79045369
6350	-2.79049772	-2.79050983
6400	-2.79053621	-2.79053553
6450	-2.79060138	-2.79059829
6500	-2.79066502	-2.79067000
6550	-2.79074097	-2.79074813
6600	-2.79109808	-2.79109691
6650	-2.79117608	-2.79116462
6700	-2.79124177	-2.79123698
6750	-2.79134788	-2.79134361
6800	-2.79144024	-2.79144513
6850	-2.79150789	-2.79150457
6900	-2.79155547	-2.79155609
6950	-2.79161891	-2.79161673
7000	-2.79166047	-2.79166777
7050	-2.79172268	-2.79172649
7100	-2.79177254	-2.79177602
7150	-2.79182334	-2.79182090
7200	-2.79187900	-2.79188119
7250	-2.79193851	-2.79194069
7300	-2.79199088	-2.79198511
7350	-2.79205220	-2.79204982
7400	-2.79213769	-2.79214147
7450	-2.79223637	-2.79223761
7500	-2.79231131	-2.79231363
7550	-2.79237017	-2.79238342
7600	-2.79245911	-2.79245266
7650	-2.79249324	-2.79249656
7700	-2.79256059	-2.79256219
7750	-2.79261661	-2.79261309
7800	-2.79270230	-2.79269647
7850	-2.79276255	-2.79276304
7900	-2.79288696	-2.79288116
7950	-2.79293724	-2.79294014
8000	-2.79302215	-2.79303055
8050	-2.79311565	-2.79311670
8100	-2.79318382	-2.79318512
8150	-2.79329924	-2.79330813
8200	-2.79340961	-2.79338897
8250	-2.79346794	-2.79347872
8300	-2.79353458	-2.79353865
8350	-2.79361356	-2.79361020
8400	-2.79367084	-2.79367325
8450	-2.79377386	-2.79376943
8500	-2.79387059	-2.79387029
8550	-2.79395080	-2.79395438
8600	-2.79399689	-2.79400177
8650	-2.79411876	-2.79411990
8700	-2.79422346	-2.79421513
8750	-2.79428108	-2.79427036
8800	-2.79437422	-2.79437471
8850	-2.79446821	-2.79446978
8900	-2.79454612	-2.79454902
8950	-2.79461940	-2.79462620
9000	-2.79470254	-2.79470811
9050	-2.79477149	-2.79477396
9100	-2.79486385	-2.79487076
9150	-2.79496530	-2.79496016
9200	-2.79501588	-2.79501302
9250	-2.79509913	-2.79509466
9300	-2.79516635	-2.79516583
9350	-2.79523415	-2.79523643
9400	-2.79531036	-2.79530848
9450	-2.79536404	-2.79536775
9500	-2.79543142	-2.79542432
9550	-2.79552242	-2.79552486
9600	-2.79561257	-2.79561204
9650	-2.79567379	-2.79567633
9700	-2.79577218	-2.79577710
9750	-2.79587008	-2.79585859
9800	-2.79593011	-2.79592463
9850	-2.79601355	-2.79600286
9900	-2.79610985	-2.79610737
9950	-2.79619489	-2.79619300
10000	-2.79626562	-2.79626875
10050	-2.79640515	-2.79641495
